Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1595703600000,2020-07-25 19:00:00,BTCEUR,8339.61,8359.99,8310.95,8336.67,4.351886,36264.81963958,218
1595700000000,2020-07-25 18:00:00,BTCEUR,8365.51,8370.0,8316.62,8334.0,7.994463,66668.44803827,250
1595696400000,2020-07-25 17:00:00,BTCEUR,8305.56,8365.81,8289.75,8361.2,12.631813,105357.52657441,442
1595692800000,2020-07-25 16:00:00,BTCEUR,8286.87,8313.63,8262.82,8313.62,7.784775,64472.5976501,230
1595689200000,2020-07-25 15:00:00,BTCEUR,8275.73,8291.38,8275.33,8286.87,1.42934,11840.05896904,103
1595685600000,2020-07-25 14:00:00,BTCEUR,8273.42,8284.84,8259.4,8284.78,1.311349,10849.0643862,121
1595682000000,2020-07-25 13:00:00,BTCEUR,8293.45,8298.0,8255.05,8279.79,2.404434,19911.49992658,156
1595678400000,2020-07-25 12:00:00,BTCEUR,8270.04,8294.31,8267.37,8289.7,5.027692,41626.36823978,198
1595674800000,2020-07-25 11:00:00,BTCEUR,8273.24,8293.9,8266.22,8281.48,2.740853,22698.82099316,124
1595671200000,2020-07-25 10:00:00,BTCEUR,8269.02,8278.0,8257.87,8269.17,3.796121,31373.18394741,97
1595667600000,2020-07-25 09:00:00,BTCEUR,8283.24,8290.51,8267.81,8269.22,1.953011,16173.50236937,131
1595664000000,2020-07-25 08:00:00,BTCEUR,8263.69,8297.79,8258.82,8282.89,2.486985,20599.94267817,160
1595660400000,2020-07-25 07:00:00,BTCEUR,8276.46,8286.57,8258.82,8267.54,0.913778,7561.10553571,96
1595656800000,2020-07-25 06:00:00,BTCEUR,8289.77,8293.68,8266.84,8272.22,3.249496,26886.21135356,121
1595653200000,2020-07-25 05:00:00,BTCEUR,8263.27,8293.04,8263.27,8275.53,1.361048,11266.73857177,89
1595649600000,2020-07-25 04:00:00,BTCEUR,8261.37,8267.13,8252.34,8263.41,0.1031,851.63371277,21
1595646000000,2020-07-25 03:00:00,BTCEUR,8261.46,8288.74,8261.46,8268.93,1.85043,15307.50241729,64
1595642400000,2020-07-25 02:00:00,BTCEUR,8252.56,8261.46,8252.56,8261.46,0.10002,826.03432331,18
1595638800000,2020-07-25 01:00:00,BTCEUR,8242.13,8254.75,8228.81,8254.75,0.298892,2462.8962486,20
1595635200000,2020-07-25 00:00:00,BTCEUR,8239.42,8254.75,8235.69,8245.24,2.995211,24699.97196081,100
1595631600000,2020-07-24 23:00:00,BTCEUR,8238.91,8287.35,8225.0,8227.27,9.229536,76208.15433162,140
1595628000000,2020-07-24 22:00:00,BTCEUR,8287.55,8287.55,8225.0,8238.41,5.236905,43248.8345765,235
1595624400000,2020-07-24 21:00:00,BTCEUR,8306.64,8316.28,8283.57,8289.79,3.93732,32675.73921317,466
1595620800000,2020-07-24 20:00:00,BTCEUR,8282.47,8307.61,8266.24,8306.21,2.220406,18397.43257822,189
1595617200000,2020-07-24 19:00:00,BTCEUR,8278.8,8287.0,8268.89,8282.14,3.399622,28151.82181586,193
1595613600000,2020-07-24 18:00:00,BTCEUR,8266.14,8287.07,8232.58,8282.07,12.065799,99679.65535026,313
1595610000000,2020-07-24 17:00:00,BTCEUR,8277.42,8298.83,8223.41,8263.78,14.990434,123761.96103706,329
1595606400000,2020-07-24 16:00:00,BTCEUR,8263.43,8290.67,8240.63,8286.43,7.40634,61233.21004311,294
1595602800000,2020-07-24 15:00:00,BTCEUR,8255.99,8271.7,8242.0,8262.84,7.577653,62556.1169299,255
1595599200000,2020-07-24 14:00:00,BTCEUR,8240.26,8260.83,8235.79,8255.26,12.392856,102202.54414633,371
1595595600000,2020-07-24 13:00:00,BTCEUR,8251.42,8279.0,8228.52,8228.52,23.926664,197514.71236329,445
1595592000000,2020-07-24 12:00:00,BTCEUR,8271.07,8271.99,8236.38,8253.67,16.868221,139219.32068117,444
1595588400000,2020-07-24 11:00:00,BTCEUR,8281.12,8295.09,8267.91,8273.2,3.359297,27813.88546094,235
1595584800000,2020-07-24 10:00:00,BTCEUR,8256.33,8294.8,8238.3,8278.7,6.131708,50692.10958006,226
1595581200000,2020-07-24 09:00:00,BTCEUR,8237.81,8262.3,8232.67,8252.63,6.061155,50022.54147905,214
1595577600000,2020-07-24 08:00:00,BTCEUR,8240.94,8243.71,8220.0,8234.72,6.671018,54902.35466951,168
1595574000000,2020-07-24 07:00:00,BTCEUR,8200.0,8242.56,8200.0,8238.25,9.885538,81376.61678275,257
1595570400000,2020-07-24 06:00:00,BTCEUR,8262.17,8262.53,8200.0,8200.0,6.99036,57567.12962395,227
1595566800000,2020-07-24 05:00:00,BTCEUR,8255.92,8268.33,8216.39,8257.68,2.827167,23272.63653324,104
1595563200000,2020-07-24 04:00:00,BTCEUR,8272.04,8280.0,8252.45,8259.76,0.646001,5339.45677026,76
1595559600000,2020-07-24 03:00:00,BTCEUR,8272.98,8272.98,8258.06,8269.54,0.788012,6511.0675261,34
1595556000000,2020-07-24 02:00:00,BTCEUR,8279.42,8280.0,8263.96,8275.46,0.737186,6099.22728743,45
1595552400000,2020-07-24 01:00:00,BTCEUR,8294.91,8298.44,8279.58,8279.58,0.436271,3616.85317457,59
1595548800000,2020-07-24 00:00:00,BTCEUR,8317.35,8320.09,8294.49,8294.91,0.658839,5471.72470916,22
1595545200000,2020-07-23 23:00:00,BTCEUR,8313.33,8324.64,8302.73,8320.5,1.542265,12823.38742832,86
1595541600000,2020-07-23 22:00:00,BTCEUR,8319.03,8330.0,8310.92,8311.06,3.386909,28192.07375003,189
1595538000000,2020-07-23 21:00:00,BTCEUR,8306.28,8319.03,8303.41,8319.03,4.554654,37872.14230903,145
1595534400000,2020-07-23 20:00:00,BTCEUR,8315.8,8319.03,8290.54,8306.05,3.97951,33063.48277834,145
1595530800000,2020-07-23 19:00:00,BTCEUR,8297.17,8319.03,8297.17,8315.0,3.632924,30178.00207399,214
1595527200000,2020-07-23 18:00:00,BTCEUR,8330.8,8333.51,8290.54,8304.51,5.299509,44042.18044936,232
1595523600000,2020-07-23 17:00:00,BTCEUR,8314.35,8360.29,8299.9,8333.72,14.247556,118664.68709221,446
1595520000000,2020-07-23 16:00:00,BTCEUR,8241.58,8313.63,8236.73,8313.63,13.621719,112642.15959265,344
1595516400000,2020-07-23 15:00:00,BTCEUR,8238.91,8268.55,8231.19,8249.52,6.914818,57067.13276498,340
1595512800000,2020-07-23 14:00:00,BTCEUR,8250.5,8306.84,8211.0,8240.96,22.314199,184298.85117889,491
1595509200000,2020-07-23 13:00:00,BTCEUR,8252.73,8267.67,8245.1,8252.25,9.656218,79707.68582714,191
1595505600000,2020-07-23 12:00:00,BTCEUR,8262.38,8270.49,8251.52,8254.56,6.572105,54267.60947993,216
1595502000000,2020-07-23 11:00:00,BTCEUR,8245.36,8267.52,8236.59,8266.55,6.379665,52646.71342842,311
1595498400000,2020-07-23 10:00:00,BTCEUR,8250.1,8255.37,8229.43,8245.36,5.368622,44270.9303116,222
1595494800000,2020-07-23 09:00:00,BTCEUR,8257.66,8261.34,8238.25,8250.0,5.253565,43345.31803477,295
1595491200000,2020-07-23 08:00:00,BTCEUR,8250.0,8266.5,8225.78,8263.41,6.396867,52757.99926551,223
1595487600000,2020-07-23 07:00:00,BTCEUR,8241.08,8262.32,8228.91,8250.0,6.624034,54681.84490763,133
1595484000000,2020-07-23 06:00:00,BTCEUR,8235.0,8252.66,8224.01,8239.94,3.017313,24856.96617021,171
1595480400000,2020-07-23 05:00:00,BTCEUR,8251.52,8252.28,8218.0,8235.0,3.528638,29079.19718398,125
1595476800000,2020-07-23 04:00:00,BTCEUR,8250.01,8263.44,8242.26,8254.61,7.00215,57771.59442789,119
1595473200000,2020-07-23 03:00:00,BTCEUR,8254.59,8262.54,8236.0,8250.0,3.573981,29481.4268775,111
1595469600000,2020-07-23 02:00:00,BTCEUR,8268.37,8271.0,8253.27,8255.07,2.434304,20121.03435808,77
1595466000000,2020-07-23 01:00:00,BTCEUR,8262.72,8270.0,8255.08,8268.23,1.984291,16399.79773813,86
1595462400000,2020-07-23 00:00:00,BTCEUR,8269.59,8286.94,8256.69,8266.52,4.443139,36767.59291375,209
1595458800000,2020-07-22 23:00:00,BTCEUR,8250.1,8293.06,8250.1,8274.9,7.216366,59701.48402351,239
1595455200000,2020-07-22 22:00:00,BTCEUR,8155.8,8296.62,8143.46,8262.92,14.955902,123084.5893212,674
1595451600000,2020-07-22 21:00:00,BTCEUR,8149.25,8157.13,8126.76,8155.19,4.307408,35077.33226344,204
1595448000000,2020-07-22 20:00:00,BTCEUR,8139.48,8161.26,8138.82,8150.3,6.138778,50030.13793248,507
1595444400000,2020-07-22 19:00:00,BTCEUR,8145.62,8155.0,8134.84,8139.89,2.15458,17546.38676705,122
1595440800000,2020-07-22 18:00:00,BTCEUR,8145.27,8155.0,8135.33,8145.62,4.704996,38338.64574186,207
1595437200000,2020-07-22 17:00:00,BTCEUR,8106.46,8149.59,8104.02,8144.12,4.75881,38702.95864725,223
1595433600000,2020-07-22 16:00:00,BTCEUR,8112.38,8125.0,8103.68,8110.05,5.423717,44018.44040802,201
1595430000000,2020-07-22 15:00:00,BTCEUR,8102.1,8133.29,8100.0,8111.07,13.751222,111637.78834572,367
