Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR,tradecount
1634547600000,2021-10-18 09:00:00,ETHEUR,3296.16,3312.38,3246.38,3275.49,2200.0308,7223239.373816,8360
1634544000000,2021-10-18 08:00:00,ETHEUR,3309.06,3329.35,3288.5,3296.0,1845.4768,6098870.71335,6998
1634540400000,2021-10-18 07:00:00,ETHEUR,3330.18,3343.08,3307.14,3309.01,1182.5461,3935035.599335,4624
1634536800000,2021-10-18 06:00:00,ETHEUR,3339.61,3348.65,3324.51,3330.18,950.4881,3171118.852141,3561
1634533200000,2021-10-18 05:00:00,ETHEUR,3330.05,3341.8,3321.53,3339.21,644.7685,2147785.391189,2492
1634529600000,2021-10-18 04:00:00,ETHEUR,3318.39,3331.28,3310.01,3329.38,632.0221,2097906.421503,2723
1634526000000,2021-10-18 03:00:00,ETHEUR,3326.69,3334.89,3302.21,3318.65,716.9154,2380191.231989,2654
1634522400000,2021-10-18 02:00:00,ETHEUR,3338.17,3344.93,3325.19,3327.08,648.2139,2161338.146232,2466
1634518800000,2021-10-18 01:00:00,ETHEUR,3340.02,3353.99,3325.44,3337.47,1118.9176,3738950.620583,3803
1634515200000,2021-10-18 00:00:00,ETHEUR,3314.35,3350.0,3310.67,3339.97,1614.9994,5379236.02822,5683
1634511600000,2021-10-17 23:00:00,ETHEUR,3296.84,3326.53,3287.43,3313.93,1347.1206,4449834.775786,4619
1634508000000,2021-10-17 22:00:00,ETHEUR,3242.29,3299.85,3240.6,3296.81,2663.0702,8719364.98302,8014
1634504400000,2021-10-17 21:00:00,ETHEUR,3184.32,3243.39,3177.0,3241.86,1494.4242,4794647.531721,4657
1634500800000,2021-10-17 20:00:00,ETHEUR,3242.05,3242.05,3145.36,3184.34,5503.7486,17571109.263321,14522
1634497200000,2021-10-17 19:00:00,ETHEUR,3280.74,3281.51,3233.13,3242.68,1082.0365,3517225.797361,3653
1634493600000,2021-10-17 18:00:00,ETHEUR,3274.96,3284.18,3270.7,3280.73,451.4482,1479914.189785,1915
1634490000000,2021-10-17 17:00:00,ETHEUR,3279.32,3282.48,3260.79,3275.5,691.1695,2261599.405182,2404
1634486400000,2021-10-17 16:00:00,ETHEUR,3258.83,3281.68,3252.06,3279.04,1176.1329,3843444.535235,4065
1634482800000,2021-10-17 15:00:00,ETHEUR,3316.09,3319.99,3240.94,3259.19,2124.5838,6958282.676817,6953
1634479200000,2021-10-17 14:00:00,ETHEUR,3320.92,3323.45,3305.84,3316.46,545.5549,1807868.379798,2305
1634475600000,2021-10-17 13:00:00,ETHEUR,3315.3,3332.98,3309.03,3320.8,821.5709,2727642.157281,3196
1634472000000,2021-10-17 12:00:00,ETHEUR,3320.15,3326.07,3300.0,3315.88,1075.653,3562147.348697,3559
1634468400000,2021-10-17 11:00:00,ETHEUR,3341.73,3351.0,3318.9,3320.46,897.0804,2990934.012592,2942
1634464800000,2021-10-17 10:00:00,ETHEUR,3348.51,3354.72,3333.53,3341.43,838.3471,2804334.284924,3016
1634461200000,2021-10-17 09:00:00,ETHEUR,3344.6,3362.34,3338.69,3349.1,845.7473,2834049.038088,2985
1634457600000,2021-10-17 08:00:00,ETHEUR,3336.05,3357.99,3335.98,3344.02,720.526,2412849.070771,2448
1634454000000,2021-10-17 07:00:00,ETHEUR,3332.48,3370.3,3330.73,3335.3,1129.3944,3781733.915433,3520
1634450400000,2021-10-17 06:00:00,ETHEUR,3318.0,3340.72,3316.1,3333.21,550.703,1834764.338688,1868
1634446800000,2021-10-17 05:00:00,ETHEUR,3333.0,3341.04,3315.93,3317.34,784.6213,2610847.171025,2043
1634443200000,2021-10-17 04:00:00,ETHEUR,3336.04,3361.85,3329.1,3332.99,872.3672,2919687.388189,2485
1634439600000,2021-10-17 03:00:00,ETHEUR,3311.72,3345.56,3308.87,3336.39,776.2985,2586327.218858,2108
1634436000000,2021-10-17 02:00:00,ETHEUR,3311.01,3319.49,3303.68,3311.61,250.6929,829828.759467,1047
1634432400000,2021-10-17 01:00:00,ETHEUR,3303.64,3324.98,3299.41,3312.38,612.0392,2028635.235164,1959
1634428800000,2021-10-17 00:00:00,ETHEUR,3295.26,3306.0,3274.56,3303.95,971.3936,3195191.664878,3082
1634425200000,2021-10-16 23:00:00,ETHEUR,3290.21,3313.82,3283.92,3294.52,341.6778,1127253.202381,1352
1634421600000,2021-10-16 22:00:00,ETHEUR,3281.62,3295.89,3272.51,3291.0,531.4785,1745296.170622,2005
1634418000000,2021-10-16 21:00:00,ETHEUR,3297.35,3304.82,3281.0,3281.78,419.8491,1384033.759239,1718
1634414400000,2021-10-16 20:00:00,ETHEUR,3302.0,3306.26,3275.19,3297.0,1039.9362,3420480.992236,3443
1634410800000,2021-10-16 19:00:00,ETHEUR,3328.18,3329.01,3302.15,3303.2,436.9007,1449429.770686,2044
1634407200000,2021-10-16 18:00:00,ETHEUR,3327.27,3338.73,3315.77,3327.51,537.3481,1787829.381699,2339
1634403600000,2021-10-16 17:00:00,ETHEUR,3352.43,3352.43,3300.0,3328.17,1826.0558,6059348.821671,5939
1634400000000,2021-10-16 16:00:00,ETHEUR,3361.25,3367.28,3343.55,3352.07,565.811,1898181.455218,2746
1634396400000,2021-10-16 15:00:00,ETHEUR,3354.46,3370.29,3342.18,3361.97,762.4008,2558367.971816,3451
1634392800000,2021-10-16 14:00:00,ETHEUR,3370.5,3374.35,3350.41,3355.0,649.9936,2187299.565836,3031
1634389200000,2021-10-16 13:00:00,ETHEUR,3352.05,3370.5,3342.58,3370.5,1222.2105,4105636.651359,4149
1634385600000,2021-10-16 12:00:00,ETHEUR,3405.25,3416.0,3338.12,3352.13,2652.36126,8947016.108433,8092
1634382000000,2021-10-16 11:00:00,ETHEUR,3389.58,3412.5,3378.27,3404.56,1432.0739,4860217.3719001,5369
1634378400000,2021-10-16 10:00:00,ETHEUR,3386.77,3395.96,3381.63,3389.69,1093.5307,3706369.366376,4020
1634374800000,2021-10-16 09:00:00,ETHEUR,3391.43,3398.8,3369.19,3386.03,1739.1578,5884917.498813,5536
1634371200000,2021-10-16 08:00:00,ETHEUR,3317.55,3394.5,3314.21,3391.47,2769.1622,9317728.193357,8732
1634367600000,2021-10-16 07:00:00,ETHEUR,3311.06,3317.56,3300.75,3317.29,814.022,2693882.987713,2689
1634364000000,2021-10-16 06:00:00,ETHEUR,3317.85,3326.0,3311.24,3311.24,615.8942,2043546.069337,2406
1634360400000,2021-10-16 05:00:00,ETHEUR,3298.96,3325.81,3297.19,3317.59,714.4361,2369297.056376,2237
1634356800000,2021-10-16 04:00:00,ETHEUR,3303.9,3326.7,3299.0,3299.0,827.0084,2738139.08898,2382
1634353200000,2021-10-16 03:00:00,ETHEUR,3314.5,3315.06,3296.86,3304.34,370.377,1224372.095748,1211
1634349600000,2021-10-16 02:00:00,ETHEUR,3298.59,3315.58,3289.23,3314.18,452.7938,1495240.276322,1585
1634346000000,2021-10-16 01:00:00,ETHEUR,3305.75,3314.27,3289.36,3299.49,950.0884,3140731.193935,2380
1634342400000,2021-10-16 00:00:00,ETHEUR,3327.4,3331.95,3301.81,3306.27,720.2786,2387941.415791,2353
