Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR,tradecount
1663891200000,2022-09-23,LTCEUR,54.45,57.05,52.88,56.94,15623.175,853002.63373,5401
1663804800000,2022-09-22,LTCEUR,52.04,54.91,51.63,54.36,12317.023,661537.45435,5205
1663718400000,2022-09-21,LTCEUR,52.51,56.1,51.14,52.07,31773.267,1706280.26703,9179
1663632000000,2022-09-20,LTCEUR,52.75,53.94,51.08,52.49,24077.461,1259719.62885,7996
1663545600000,2022-09-19,LTCEUR,52.53,53.69,50.0,52.81,22625.854,1167025.53243,7765
1663459200000,2022-09-18,LTCEUR,57.8,57.84,52.28,52.57,16245.756,895277.87554,6072
1663372800000,2022-09-17,LTCEUR,55.92,58.44,55.78,57.81,8733.687,499698.3,4406
1663286400000,2022-09-16,LTCEUR,56.5,57.0,54.64,55.95,14612.047,813935.3832,5935
1663200000000,2022-09-15,LTCEUR,60.23,61.07,56.0,56.48,17233.089,1012654.80125,5737
1663113600000,2022-09-14,LTCEUR,59.24,61.32,58.25,60.32,14496.763,866560.75149,4948
1663027200000,2022-09-13,LTCEUR,60.59,66.35,58.6,59.24,38454.762,2414445.88709,10120
1662940800000,2022-09-12,LTCEUR,61.71,62.55,59.36,60.62,11457.575,696719.70333,4168
1662854400000,2022-09-11,LTCEUR,62.89,63.96,60.84,61.65,11368.29,709700.35039,4455
1662768000000,2022-09-10,LTCEUR,60.8,64.34,60.16,62.92,17662.272,1103383.01578,5753
1662681600000,2022-09-09,LTCEUR,57.97,61.64,57.69,60.81,14201.649,853423.17044,4692
1662595200000,2022-09-08,LTCEUR,57.38,58.63,56.2,57.98,14121.949,808941.1146,4779
1662508800000,2022-09-07,LTCEUR,54.73,58.3,53.6,57.43,15231.713,845278.74237,5110
1662422400000,2022-09-06,LTCEUR,60.81,62.94,54.65,54.71,19620.357,1150634.51094,5831
1662336000000,2022-09-05,LTCEUR,61.42,62.12,59.75,60.67,10414.102,631844.07598,4150
1662249600000,2022-09-04,LTCEUR,60.46,61.46,58.96,61.4,11087.344,665210.21874,3992
1662163200000,2022-09-03,LTCEUR,61.35,62.51,59.87,60.33,16494.92,1008049.48559,5196
1662076800000,2022-09-02,LTCEUR,57.83,62.65,56.7,61.38,25754.858,1546286.03298,6891
1661990400000,2022-09-01,LTCEUR,53.65,58.01,53.08,57.81,21627.959,1207072.3003,5976
1661904000000,2022-08-31,LTCEUR,53.09,55.0,52.88,53.71,14041.818,759401.21681,3785
1661817600000,2022-08-30,LTCEUR,55.81,56.24,51.78,52.89,17208.731,935951.47424,4036
1661731200000,2022-08-29,LTCEUR,53.86,56.64,52.96,55.78,38191.654,2109047.85752,8032
1661644800000,2022-08-28,LTCEUR,53.29,56.26,52.75,53.82,33753.446,1846772.57132,7155
1661558400000,2022-08-27,LTCEUR,52.98,53.74,51.86,53.3,17742.844,938388.67227,4294
1661472000000,2022-08-26,LTCEUR,56.77,58.13,52.38,53.02,21525.01,1182455.61627,4997
1661385600000,2022-08-25,LTCEUR,56.63,57.44,56.05,56.88,8065.425,458762.07728,2308
1661299200000,2022-08-24,LTCEUR,57.38,57.87,55.79,56.64,9562.599,544514.85509,2613
1661212800000,2022-08-23,LTCEUR,57.54,57.96,54.43,57.32,8686.619,492661.07525,2524
1661126400000,2022-08-22,LTCEUR,55.54,57.88,52.34,57.61,15728.868,875024.641,3605
1661040000000,2022-08-21,LTCEUR,54.01,55.96,53.71,55.51,8783.886,482256.95378,2195
1660953600000,2022-08-20,LTCEUR,53.94,55.46,52.5,53.96,11995.165,652483.90413,2864
1660867200000,2022-08-19,LTCEUR,59.51,59.7,53.12,53.8,18266.997,1013959.99255,4382
1660780800000,2022-08-18,LTCEUR,59.52,60.96,58.85,59.5,9089.65,546370.68077,2879
1660694400000,2022-08-17,LTCEUR,60.25,63.57,58.77,59.35,14142.884,861504.14578,3941
1660608000000,2022-08-16,LTCEUR,59.7,60.75,59.04,60.29,12586.765,755963.06712,3613
1660521600000,2022-08-15,LTCEUR,61.71,63.71,58.71,59.8,14087.145,850657.31172,3966
1660435200000,2022-08-14,LTCEUR,62.31,64.29,60.94,61.69,15201.445,951904.43631,4021
1660348800000,2022-08-13,LTCEUR,61.32,64.0,61.12,62.24,11865.349,741209.57279,3413
1660262400000,2022-08-12,LTCEUR,60.12,61.5,59.06,61.31,10603.698,638015.59453,3202
1660176000000,2022-08-11,LTCEUR,59.88,61.43,59.61,60.06,10976.198,664330.51759,3486
1660089600000,2022-08-10,LTCEUR,57.98,60.46,56.4,59.9,13044.948,765698.01868,3864
1660003200000,2022-08-09,LTCEUR,61.36,61.68,57.07,58.05,11905.152,701421.62169,3737
1659916800000,2022-08-08,LTCEUR,60.12,62.92,59.76,61.47,10390.005,641952.80579,3431
1659830400000,2022-08-07,LTCEUR,59.74,60.99,58.87,60.14,7724.268,464467.5191,2629
1659744000000,2022-08-06,LTCEUR,61.4,61.42,59.51,59.79,7265.773,438774.73154,2611
1659657600000,2022-08-05,LTCEUR,58.36,61.43,58.35,61.42,12270.181,737714.54236,3688
1659571200000,2022-08-04,LTCEUR,56.91,59.7,56.8,58.37,16375.209,951557.52957,4497
1659484800000,2022-08-03,LTCEUR,57.21,59.22,55.88,56.91,11906.307,688292.52014,3566
1659398400000,2022-08-02,LTCEUR,57.98,58.57,55.17,57.21,12854.442,732071.64512,3952
1659312000000,2022-08-01,LTCEUR,58.61,59.38,56.9,58.12,12198.829,706762.11724,3558
1659225600000,2022-07-31,LTCEUR,59.18,61.66,58.45,58.65,19197.833,1154261.04149,4606
